session_id,customer_id,session_date,pages_viewed,product_id_viewed,channel,device_type,converted
1,1,2024-01-04,5,1,organic_search,desktop,true
2,2,2024-01-07,3,3,direct,mobile,true
3,3,2024-01-11,8,10,email,desktop,true
4,,2024-01-13,2,6,paid_search,mobile,false
5,4,2024-01-14,4,16,social_media,mobile,true
6,5,2024-01-19,6,11,organic_search,desktop,true
7,,2024-01-22,1,15,paid_search,tablet,false
8,6,2024-01-24,7,15,email,desktop,true
9,,2024-01-28,3,6,social_media,mobile,false
10,7,2024-02-01,2,14,organic_search,mobile,true
11,8,2024-02-06,5,7,direct,desktop,true
12,9,2024-02-09,9,6,email,desktop,true
13,,2024-02-11,4,10,paid_search,mobile,false
14,10,2024-02-13,3,1,organic_search,mobile,true
15,11,2024-02-17,2,4,direct,desktop,false
16,12,2024-02-21,6,13,email,desktop,true
17,13,2024-02-29,4,5,social_media,mobile,true
18,14,2024-03-04,3,3,organic_search,desktop,true
19,15,2024-03-09,5,15,direct,mobile,true
20,16,2024-03-14,8,7,email,desktop,true
21,,2024-03-17,2,1,paid_search,mobile,false
22,17,2024-03-19,4,2,organic_search,mobile,true
23,18,2024-03-24,6,5,social_media,tablet,true
24,19,2024-03-31,7,11,email,desktop,true
25,20,2024-04-04,3,6,direct,desktop,true
